"id","shopName","category","phone","website","address","rating","reviews","siteStatus","status","ownerName","email","techStack","opportunity","mapsUrl","dateAdded"
"lead_lead_1787743439075_0","Unknown Business","Local Business","+92 332 2368911","None","Not Found","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/search/clothing%20in%20gulshan%20e%20hadeed","2026-08-26 11:24"
"lead_lead_1787743439076_1","Black & Black Garment","Clothing store","+92 335 2819382","None","
V992+V3X, A To Z Rd, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Black+%26+Black+Garment/@24.8666875,67.3405503,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb33322154d5a63:0xb5a6c658ed0df8fc!8m2!3d24.8697485!4d67.3502325!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOb1gzRkxOM1ZSUlJBQuABAPoBBAgAEBk!16s%2Fg%2F11kb71sh9p?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743440907_2","Inked Wear","Clothing store","+92 312 1119189","http://www.inkedwearpk.com/","
13 Commercial Market Lane 2, Phase 2 Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, Pakistan","N/A","0","Insecure (HTTP)","New","Not Listed","support@inkedwearpk.com","React/Next.js","SSL Migration & Security Upgrade","https://www.google.com/maps/place/Inked+Wear/@24.8709895,67.351015,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333001e2b3deb:0xedce1992cbb5337a!8m2!3d24.8709895!4d67.3600272!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeE9jVTVIYkZkVmEzaFVVMFpzYUdNeFRYUmtWRXB2WkdzMVExSnVZeEFC4AEA-gEECAAQQA!16s%2Fg%2F11mlcftk38?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_3","H&I Garments","Clothing store","+92 305 9890373","None","
Plot A, V89X+WX7 Al Hadeed Masjid, 1583, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/H%26I+Garments/@24.869357,67.3413624,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333004ce665cd:0xa4a1ee38f811eb21!8m2!3d24.869357!4d67.3503746!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydzVZVlpFVG5wVGJHYzFUV3hLVDJORVJsVlJNVzh6VkVVNGVsb3lZeEFC4AEA-gEECAAQQQ!16s%2Fg%2F11wj0z4g9t?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_4","SHAIKH SONS CLOTHES","Clothing store","Not Found","None","
Plot A 432, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/SHAIKH+SONS+CLOTHES/@24.869357,67.3413624,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb33395cbd099ef:0x9806596cf7de2790!8m2!3d24.8683317!4d67.3517598!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11p_1y_y0r?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743440825_5","Diners (Hadeed Outlet)","Clothing store","Not Found","https://diners.com.pk/","
Gulshan-e-Hadeed Gulshan e Hadeed Phase 3 Bin Qasim Town, Karachi, Pakistan","N/A","0","Outdated Site","New","Not Listed","cs@diners.com.pk","Shopify, React/Next.js","Modern Website Redesign & UI Upgrade","https://www.google.com/maps/place/Diners+(Hadeed+Outlet)/@24.869357,67.3413624,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb33356770b8f45:0x768deae81a7de5e2!8m2!3d24.8634375!4d67.3504375!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOU2NWcFRlblZCUlJBQuABAPoBBAgAECc!16s%2Fg%2F11ssdptry6?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_6","Happy Fashion","Boutique","+92 324 2760430","None","
Commercial Market, karachi, Gulshan e Hadeed Phase 1 Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Happy+Fashion/@24.869357,67.3413624,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333c7b2a06449:0x8d6a607500c4340f!8m2!3d24.8685084!4d67.3514605!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQhib3V0aXF1ZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMDRNR1J1VG5wUlZXZDVZekF4VDFWVVdYZGtNRFEwWkROa2RXSXdSUkFC4AEA-gEECAAQIg!16s%2Fg%2F11xd1y0h4v?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_7","clothing store","Clothing store","Not Found","None","
Qasim, B-424 Gulshan e Hadeed Phase 2 Bin Qasim Town, Bin, Gulshan e Hadeed Phase 2 town, Karachi, 75010, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/clothing+store/@24.869357,67.3413624,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333ce013f30f9:0x54db95be4f3df424!8m2!3d24.8717331!4d67.3592771!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEOY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11wbshwmt6?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_8","My Garments Shop","Clothing store","+92 300 2121202","None","
A813, Gulshan-e-Hadeed Phase 1 Bin Qasim Town, Karachi, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/My+Garments+Shop/@24.8717331,67.3502649,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb333d50bcf1695:0x6d9d703a84f19ee8!8m2!3d24.8701869!4d67.3549926!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkWh4iHGNsb3RoaW5nIGluIGd1bHNoYW4gZSBoYWRlZWSSAQ5jbG90aGluZ19zdG9yZeABAA!16s%2Fg%2F11fjbl5hxq?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
"lead_lead_1787743439076_9","Raji Fashion","Youth clothing store","+92 333 2108211","None","
A855, Phase 2 Gulshan e Hadeed Phase 2 Bin Qasim Town, Karachi, 75010, Pakistan","N/A","0","Missing Website","New","Not Listed","Not Found","None","New Custom Website Development + WhatsApp Lead Bot","https://www.google.com/maps/place/Raji+Fashion/@24.8717331,67.3502649,16z/data=!4m10!1m2!2m1!1sclothing+in+gulshan+e+hadeed!3m6!1s0x3eb3332bd6b05f89:0x34c5ba6be6566b0a!8m2!3d24.8706005!4d67.3648903!15sChxjbG90aGluZyBpbiBndWxzaGFuIGUgaGFkZWVkkgEUeW91dGhfY2xvdGhpbmdfc3RvcmXgAQA!16s%2Fg%2F11kl485gtm?entry=ttu&g_ep=EgoyMDI2MDgyMy4wIKXMDSoASAFQAw%3D%3D","2026-08-26 11:24"
